state,district,opportunity_index,job_opportunity_index,college_infra_index,rural_infra_index
JAMMU AND KASHMIR,Leh(Ladakh),4.074,2.934,6.732,3.154
JAMMU AND KASHMIR,Pulwama,1.989,1.188,3.859,4.341
JAMMU AND KASHMIR,Punch,1.909,0.926,4.204,4.186
JAMMU AND KASHMIR,Rajouri,1.865,0.736,4.498,4.427
JAMMU AND KASHMIR,Ramban,1.108,0.543,2.425,3.755
JAMMU AND KASHMIR,Reasi,1.653,1.036,3.093,2.857
JAMMU AND KASHMIR,Samba,3.203,1.606,6.927,5.358
JAMMU AND KASHMIR,Shupiyan,1.547,0.631,3.682,4.37
JAMMU AND KASHMIR,Srinagar,8.1,9.202,5.527,6.879
JAMMU AND KASHMIR,Udhampur,2.63,1.722,4.748,3.994
JHARKHAND,Bokaro,4.895,4.668,5.425,5.512
JHARKHAND,Chatra,1.395,0.602,3.245,1.121
JHARKHAND,Deoghar,2.458,1.816,3.956,4.0
JHARKHAND,Dhanbad,5.645,5.579,5.799,6.545
JHARKHAND,Dumka,1.52,0.642,3.569,1.788
JHARKHAND,Garhwa,1.403,0.582,3.319,0.86
JHARKHAND,Giridih,1.683,0.848,3.631,2.414
JHARKHAND,Godda,1.169,0.477,2.782,1.354
JHARKHAND,Gumla,1.695,0.636,4.166,1.237
JHARKHAND,Hazaribagh,2.605,1.656,4.82,4.63
JHARKHAND,Jamtara,1.904,0.98,4.058,2.571
JHARKHAND,Khunti,1.773,0.825,3.987,2.035
JHARKHAND,Kodarma,2.704,2.079,4.162,4.063
JHARKHAND,Latehar,1.489,0.785,3.133,2.261
JHARKHAND,Lohardaga,2.159,1.187,4.427,2.476
JHARKHAND,Pakur,0.975,0.676,1.673,1.304
JHARKHAND,Palamu,1.984,1.167,3.891,1.573
JHARKHAND,Pashchimi Singhbhum,1.959,1.434,3.183,2.969
JHARKHAND,Purbi Singhbhum,5.559,5.292,6.183,6.632
JHARKHAND,Ramgarh,4.654,4.272,5.544,5.951
JHARKHAND,Ranchi,4.626,3.985,6.123,5.02
JHARKHAND,Sahibganj,1.541,1.288,2.131,1.2
JHARKHAND,Saraikela-Kharsawan,2.937,2.19,4.68,4.834
JHARKHAND,Simdega,1.826,0.64,4.593,0.95
KARNATAKA,Bagalkot,3.614,3.068,4.889,6.151
KARNATAKA,Bangalore,8.91,8.945,8.828,8.424
KARNATAKA,Bangalore Rural,3.861,2.679,6.619,6.618
KARNATAKA,Belgaum,3.46,2.49,5.723,6.198
KARNATAKA,Bellary,4.033,3.709,4.79,7.169
KARNATAKA,Bidar,3.266,2.405,5.276,7.021
KARNATAKA,Bijapur,2.984,2.272,4.646,6.219
KARNATAKA,Chamarajanagar,2.418,1.614,4.296,6.615
KARNATAKA,Chikkaballapura,3.092,2.085,5.442,6.279
